deltaZ/L,1/F
0.97081264,0.597859905
0.947911131,0.583459966
0.932761559,0.715491384
0.904441634,0.842839624
0.883281104,0.938853328
0.870856012,1.121614852
0.846409002,1.321291056
0.808944356,1.462857792
0.781748432,1.647108978
0.761553686,1.843337545
0.711765353,2.136381513
0.90493755,0.87141213
0.87232943,0.992436679
0.8741486,1.057919742
0.881112516,1.099831189
0.880758212,1.12909688
0.84458189,1.22526572
0.855449875,1.386483885
0.868675207,1.404832507
0.838522672,1.491043365
0.813486173,1.524985703
0.778180952,1.743155212
0.791681175,1.829098285
0.80154489,1.849633115
0.861421396,0.992436679
0.881350522,1.057919742
0.907983425,1.099831189
0.871111111,1.12909688
0.835586249,1.22526572
0.839993861,1.386483885
0.821574586,1.404832507
0.80786372,1.491043365
0.777532228,1.524985703
0.794917127,1.743155212
0.777513812,1.829098285
0.861421396,0.992436679
0.881350522,1.057919742
0.907983425,1.099831189
0.871111111,1.12909688
0.835586249,1.22526572
0.839993861,1.386483885
0.821574586,1.404832507
0.80786372,1.491043365
0.777532228,1.524985703
0.794917127,1.743155212
0.777513812,1.829098285
0.683002954,2.221125641
0.755276957,1.984580179
0.771066886,1.785145134
0.806268693,1.707469442
0.826702937,1.478442542
0.839860967,1.357688467
0.853826069,1.199347732
0.868621551,1.04587406
0.873431095,0.943774282
0.881050685,0.876619819
0.904241698,0.722101659
0.917624297,0.643236469
0.94537122,0.5586505
0.957575228,0.52586441
0.973232413,0.5113501
0.954531025,0.77547345
0.941968254,0.924935228
0.891616162,1.120136217
0.859617965,1.384091331
0.834419192,1.629520552
0.82192316,1.855035371
0.733185426,2.165232675
0.932019608,0.383812828
0.915901961,0.47266665
0.887869281,0.566374556
0.891267974,0.699899921
0.843588235,0.854186214
0.861300654,1.051438102
0.811405229,1.161417469
0.775102941,1.440676931
0.755176471,1.636488068
0.721039216,1.928791875
0.654901961,1.975266494
0.649435294,2.235788521
0.843944653,0.935765325
0.837662602,0.946052201
0.821131436,1.019453271
0.796375339,1.087727869
0.795695122,1.173550497
0.77704607,1.283106208
0.776856369,1.399594177
0.734071816,1.416055633
0.728373984,1.499568936
0.737670732,1.656573905
0.714830623,1.681681985
0.701219512,1.831243855
0.680921409,1.948832755
0.652359756,1.954034606
0.942314458,0.931169739
0.883257478,1.040932761
0.867006365,1.192082258
0.813077845,1.490215329
0.72106241,1.693942283
0.72313846,1.67178272
0.65200686,2.19211816
0.656071699,1.96003089
0.634261321,2.450715407
0.600562866,2.736902758
0.952594808,0.601711294
0.943005492,0.739423327
0.899489627,0.901559695
0.869575146,0.987825975
0.870228494,1.154162055
0.834947675,1.24882977
0.762787553,1.458494764
0.696767638,1.703995441
0.673919469,1.984580179
0.617978882,2.466318118
0.60546377,2.544109257
0.908933142,0.601711294
0.928055447,0.739423327
0.895993319,0.901559695
0.898856783,0.987825975
0.822931581,1.154162055
0.782121784,1.24882977
0.726859083,1.458494764
0.692100254,1.703995441
0.601105254,2.230498684
0.961537239,0.583708405
0.935156685,0.688330531
0.922228542,0.76300317
0.89669341,0.905171993
0.885505895,1.039806697
0.847431322,1.190560559
0.813466753,1.27775313
0.777932183,1.46568336
0.74193061,1.686458143
0.713229764,1.86760984
0.692578534,2.097953396
0.672200775,2.184260142
0.947876667,0.432888264
0.920327509,0.505392241
0.9033796,0.644169991
0.868079041,0.720114306
0.843910731,0.914816985
0.804078889,1.059938335
0.78480589,1.233534279
0.758073229,1.27984438
0.719251274,1.583913108
0.687280188,1.738670356
0.638827239,1.820289158
0.865806675,0.714486236
0.862,0.816659929
0.859598291,0.807265799
0.832779365,0.870817197
0.822440883,0.899660442
0.803637607,1.011702255
0.787986325,1.053040039
0.777609402,1.086507326
0.765649573,1.110425874
0.740094017,1.295428082
0.717038462,1.256198141
0.711271795,1.412801467
0.693358974,1.501765613
0.681534921,1.416623873
0.661073504,1.600051202
0.639059829,1.675298073
0.964084656,0.544306863
0.94492328,0.574912063
0.923693915,0.660357376
0.913185714,0.803945802
0.873994709,0.951863073
0.83115873,1.164681928
0.799469048,1.26562001
0.754187831,1.393601336
0.666970899,1.624138674
0.638706349,1.769149641
0.950760784,0.433457223
0.959495798,0.494196383
0.924932773,0.601863849
0.901309804,0.78548028
0.871672269,0.907405151
0.82944958,1.014875456
0.815643137,1.147758464
0.74837395,1.369734503
0.683705882,1.593536972
0.845918227,0.923199296
0.831271757,1.009689018
0.816399015,1.130972818
0.80150821,1.142726553
0.795399015,1.218787374
0.783971264,1.244663279
0.757695567,1.44578733
0.743403941,1.479736867
0.737598522,1.531769005
0.73609298,1.593536972
0.720788177,1.805101204
0.828,0.76518911
0.815166667,0.843499006
0.771388889,0.919018278
0.830722222,0.938977484
0.832277778,0.950743892
0.8315,1.034839661
0.804333333,1.10783349
0.809,1.187283433
0.773388889,1.277857449
0.749388889,1.386350639
0.755722222,1.409849781
0.722333333,1.469635061
0.732777778,1.526940017
0.756611111,1.794317423
0.970011372,0.489137884
0.954154124,0.582683654
0.933299886,0.694119698
0.890327112,0.826867464
0.862131246,0.985002738
0.810121078,1.173380785
0.78751087,1.397785421
0.761000736,1.665106595
0.69487658,1.983551931
0.650832832,2.362898733
0.615412402,2.666903735
0.954660391,0.577369515
0.943461101,0.6107219
0.924918724,0.642691573
0.918656766,0.665632043
0.924369523,0.732330564
0.891497759,0.791683504
0.899217339,0.844762135
0.868191852,0.954896009
0.854886614,1.014301032
0.834544117,1.171776665
0.825334136,1.226002168
0.810067563,1.295863081
0.780533815,1.429739039
0.784841795,1.468367041
0.767338952,1.545796319
0.778246037,1.60664598
0.778413272,1.697599594
0.714007626,1.797793663
0.669937788,1.875476256
0.686280019,2.228835993
0.680282962,2.216755493
